name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
Rubber Doll (Opus) - Remastered,193066,True,25,Lords Of Acid,Our Little Secret (Special Remastered Band Edition),0.478,0.903,4,-4.483,False,0.13,8.87e-06,0.436,0.18,0.257,149.96,4.0,480.0,120.0,0.916010498687664,industrial,12
寶貝(In The Night),161173,False,53,Deserts Chang,My Life Will...,0.755,0.274,0,-12.403,True,0.034,0.848,1.57e-06,0.131,0.535,110.064,4.0,280.0,69.0,3.349056603773585,mandopop,16
Cruce,76881,False,0,Dj Promo,Hiplife,0.646,0.653,7,-6.306,True,0.147,0.538,0.881,0.127,0.82,79.978,4.0,99.0,23.0,4.067085953878407,happy,9
普通朋友,255133,False,59,David Tao,I'm O.K.,0.56,0.278,5,-10.123,True,0.0351,0.678,0.0,0.131,0.465,177.823,4.0,737.0,184.0,1.2793053545586106,mandopop,16
何人(なんびと)も,273600,False,17,Last Idol,ラストアルバム,0.633,0.913,8,-2.587,False,0.045,0.0711,0.0,0.202,0.829,126.982,4.0,565.0,142.0,2.7259036144578315,j-idol,15
The American Way,267049,False,24,The Crystal Method,Legion of Boom,0.734,0.625,10,-7.676,False,0.0396,0.0554,0.784,0.143,0.558,95.986,4.0,428.0,107.0,0.7573891625615764,breakbeat,5
Autre temps,350320,False,46,Alcest,Les voyages de l'âme,0.24,0.548,1,-8.378,False,0.0325,0.00607,0.875,0.0941,0.128,127.337,4.0,664.0,168.0,2.36741214057508,black-metal,2
Jah Jah Revolta,321666,False,29,BaianaSystem,BaianaSystem,0.551,0.806,11,-8.328,False,0.0558,0.026,0.00122,0.0762,0.671,143.876,4.0,772.0,194.0,0.7481162540365985,afrobeat,1
Ich will dich für immer - Disco Fox,215413,False,0,NIC,Küss Mich,0.766,0.797,0,-6.563,True,0.0296,0.18,0.0,0.105,0.745,128.001,4.0,452.0,112.0,3.349056603773585,happy,9
Wine Pon Me,232138,False,22,Vybz Kartel,Kingston Story (Deluxe Edition),0.474,0.801,10,-5.418,False,0.185,0.0498,0.000122,0.108,0.295,133.885,4.0,506.0,127.0,0.7573891625615764,j-dance,14
Share the Joy,356000,False,24,Dulces Sueños,"Sleep 101 Música para Dormir – Música Suave New Age para Descansar, Massage, Yoga Nidra y Ejercicios de Relajacion",0.158,0.0457,10,-20.763,True,0.0385,0.977,0.326,0.102,0.0337,74.084,4.0,434.0,109.0,0.7573891625615764,iranian,13
Run Wild.,240986,False,51,for KING & COUNTRY;Andy Mineo,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),0.59,0.837,7,-5.204,False,0.0921,0.217,1.66e-05,0.107,0.356,130.043,4.0,506.0,126.0,4.067085953878407,mandopop,16
Música Urbana - Versão Alternativa,211000,False,55,Capital Inicial,Capital Inicial,0.42,0.76,7,-5.021,True,0.0771,0.0056,0.000128,0.109,0.801,172.947,4.0,600.0,149.0,4.067085953878407,brazil,4
O dia em que a terra parou,265306,False,52,Raul Seixas,O Dia Em Que A Terra Parou,0.55,0.729,2,-13.779,True,0.148,0.089,0.0,0.0462,0.344,113.295,4.0,494.0,124.0,3.70048309178744,brazil,4
純情U-19,227866,False,24,NMB48,純情U-19 (劇場盤),0.538,0.985,2,-2.731,False,0.142,0.0125,0.000235,0.361,0.514,137.981,4.0,513.0,129.0,3.70048309178744,j-idol,15
Fise-vise,124753,False,40,Thorbjørn Harr,Karsten og Petra - Sangene fra filmene og TV-serien,0.526,0.674,7,-6.896,True,0.21,0.671,0.0,0.285,0.963,94.286,3.0,226.0,74.0,4.067085953878407,disney,7
The Pyre,466000,False,0,War Angel,Tales of the Damned,0.478,0.893,7,-5.237,True,0.0552,0.168,1.43e-05,0.11,0.388,120.019,4.0,917.0,230.0,4.067085953878407,iranian,13
Haari Main Haari,163555,False,42,Karthik Rao;Shilpa Surroch,Please Find Attached - Season 2 (A Dice Original Series),0.695,0.276,1,-16.612,True,0.0361,0.935,0.00422,0.102,0.398,135.122,4.0,361.0,89.0,2.36741214057508,indian,11
She Lives,185733,False,12,Felix Da Housecat,Kittenz And Thee Glitz,0.545,0.698,5,-9.75,False,0.0308,0.081,0.936,0.0987,0.636,140.987,4.0,426.0,106.0,1.2793053545586106,chicago-house,6
Isabel,194000,False,20,Lawineboys,Remmen Los,0.685,0.977,1,-2.775,True,0.107,0.0943,1.62e-05,0.091,0.863,141.944,4.0,444.0,111.0,2.36741214057508,happy,9
Mobile Light Remix,207305,False,4,Harry Toddler;Masterkat;Top Secret Music,Mobile Light,0.744,0.816,5,-3.821,True,0.214,0.0822,0.0,0.256,0.877,103.081,4.0,356.0,90.0,1.2793053545586106,j-dance,14
以父之名,342000,False,51,Jay Chou,葉惠美,0.432,0.564,2,-7.369,False,0.0407,0.298,0.233,0.356,0.398,174.96,4.0,978.0,245.0,3.70048309178744,mandopop,16
cotton candy clouds,133333,False,46,Oscar Hollis,4WHEELS,0.579,0.157,3,-19.245,True,0.0572,0.296,0.923,0.11,0.151,143.996,4.0,313.0,78.0,1.7389162561576357,study,19
Un Beso Y Una Flor,268946,False,0,Nino Bravo,Retro Baladas,0.308,0.787,9,-3.867,True,0.035,0.449,0.0,0.0372,0.449,83.996,4.0,375.0,93.0,1.343558282208589,spanish,18
我的快樂時代,216760,False,44,Eason Chan,我的快樂時代 (華星40系列),0.582,0.442,2,-7.318,True,0.0266,0.625,1.27e-06,0.205,0.23,90.025,4.0,318.0,78.0,3.70048309178744,mandopop,16
Te Quedó Grande la Yegua,231453,False,34,Natalia Jiménez,"México de Mi Corazón, Vol. 2",0.452,0.368,1,-5.736,True,0.036,0.51,0.0,0.117,0.553,147.415,4.0,558.0,140.0,2.36741214057508,spanish,18
Onwards,217066,False,21,Mile Twelve,Onwards,0.551,0.619,11,-8.659,True,0.0329,0.49,0.000576,0.223,0.71,153.033,3.0,538.0,178.0,0.7481162540365985,bluegrass,3
Villa,165735,False,41,El Michels Affair,Adult Themes,0.503,0.733,11,-7.272,True,0.188,0.676,0.809,0.0983,0.377,167.935,4.0,448.0,112.0,0.7481162540365985,afrobeat,1
Looks That Kill,251600,False,0,Static-X,Metal Lives!,0.641,0.956,5,-4.006,False,0.0376,0.00037,0.00858,0.16,0.669,136.981,4.0,566.0,141.0,1.2793053545586106,industrial,12
WiTH YOU,239864,False,26,BiSH,GOiNG TO DESTRUCTiON,0.36,0.857,10,-4.018,True,0.0456,0.000904,0.179,0.124,0.525,199.815,4.0,789.0,199.0,0.7573891625615764,j-idol,15
All I Ever Wanted,392240,False,46,Adriatique;Marino Canal,All I Ever Wanted,0.781,0.63,2,-9.768,False,0.0628,0.00755,0.792,0.11,0.365,123.021,4.0,800.0,201.0,3.70048309178744,techno,20
像風一樣,255111,False,51,Joker Xue,渡,0.514,0.418,2,-9.053,True,0.0619,0.355,0.0,0.0604,0.147,117.705,4.0,480.0,120.0,3.70048309178744,mandopop,16
不該 (with aMEI),290133,False,59,Jay Chou;A-Mei Chang,周杰倫的床邊故事,0.441,0.619,4,-6.609,True,0.0293,0.19,0.0,0.118,0.187,75.027,4.0,352.0,89.0,0.916010498687664,mandopop,16
Mach 10,225040,False,16,Dub Pistols,Speakers and Tweeters,0.683,0.713,2,-6.633,True,0.101,0.139,0.0,0.107,0.939,178.06,4.0,664.0,166.0,3.70048309178744,breakbeat,5
Lambiyaan Si Judaiyaan,238243,False,55,Pritam;Arijit Singh;Shadab;Altamash Faridi,Raabta,0.436,0.719,11,-5.957,False,0.0852,0.271,0.0,0.132,0.709,171.858,4.0,672.0,168.0,0.7481162540365985,indian,11
Frontal Lowb,121165,False,13,Zack Zhu,Frontal Lowb,0.904,0.168,10,-17.717,True,0.165,0.191,0.935,0.0904,0.478,103.0,4.0,204.0,50.0,0.7573891625615764,study,19
Modular Fantasy No.1 (Remastered),160000,False,0,Parsa Shomali,Synthetic Trilogy,0.147,0.163,0,-13.953,True,0.041,0.91,0.949,0.0429,0.0393,137.073,5.0,329.0,82.0,3.349056603773585,iranian,13
100 Ways,113320,False,26,Rob Zombie,Educated Horses,0.686,0.656,7,-8.92,True,0.0327,0.802,0.867,0.498,0.487,92.386,4.0,174.0,42.0,4.067085953878407,industrial,12
Kapu,74288,False,12,Euromasters,Kapu,0.549,0.69,11,-12.348,True,0.0421,1.8e-05,0.892,0.392,0.725,76.751,4.0,91.0,21.0,0.7481162540365985,happy,9
Earth Steriliser,212613,False,21,Aversions Crown,Tyrant,0.447,0.983,7,-2.892,True,0.175,0.000231,0.845,0.107,0.0558,140.026,4.0,495.0,123.0,4.067085953878407,black-metal,2
The First Seal,579360,False,19,Opera IX,The Black Opera,0.192,0.875,6,-5.088,True,0.0557,2.57e-05,0.776,0.108,0.128,128.669,4.0,1098.0,276.0,1.1709531013615733,black-metal,2
Jump in the Benz,202536,False,0,Vybz Kartel,The Gaza Don,0.758,0.664,4,-5.262,False,0.267,0.185,0.0,0.324,0.288,103.122,4.0,347.0,87.0,0.916010498687664,j-dance,14
Continuar,267540,False,46,Oficina G3,Depois da Guerra,0.35,0.716,9,-4.95,True,0.0357,0.131,0.0,0.147,0.201,175.915,3.0,783.0,259.0,1.343558282208589,brazil,4
Black Foam,123428,False,17,Giorgio Robertini,Black Foam,0.615,0.466,6,-9.607,False,0.0322,0.301,0.00382,0.249,0.428,140.071,4.0,286.0,71.0,1.1709531013615733,study,19
Bury Me,184960,False,22,(Hed) P.E.,Blackout,0.644,0.701,1,-5.224,False,0.0608,7.66e-05,0.000683,0.411,0.501,101.966,4.0,309.0,77.0,2.36741214057508,industrial,12
Batom,223092,False,10,ATR;Luedji Luna,Batom,0.656,0.508,6,-10.105,False,0.0956,0.295,0.505,0.0857,0.585,194.015,4.0,708.0,177.0,1.1709531013615733,afrobeat,1
"Cluck Old Hen - Live From The Louisville Palace, Kentucky / 2002",167733,False,25,Alison Krauss & Union Station,Live,0.456,0.897,2,-7.522,True,0.0343,0.0355,0.695,0.721,0.93,125.985,4.0,349.0,87.0,3.70048309178744,bluegrass,3
MOUNTAIN MAN,80930,False,54,Hashir,MOUNTAIN MAN,0.52,0.529,2,-14.395,True,0.128,0.463,0.69,0.194,0.144,172.11,4.0,231.0,57.0,3.70048309178744,sleep,17
Trust The Hours,371604,False,46,Giorgia Angiuli,Trust The Hours,0.717,0.556,1,-10.68,True,0.0487,0.0143,0.905,0.107,0.124,124.016,4.0,767.0,191.0,2.36741214057508,techno,20
Papua New Guinea (Monsoon Mix),291665,False,39,The Future Sound Of London,Accelerator Deluxe,0.586,0.777,8,-11.313,True,0.0475,0.00206,0.808,0.136,0.716,125.023,4.0,598.0,149.0,2.7259036144578315,breakbeat,5
Kanaa,257683,False,45,Nucleya;2jaym;Sublahshini,Kanaa,0.588,0.687,7,-5.786,True,0.0514,0.00449,0.00288,0.104,0.23,94.896,4.0,392.0,99.0,4.067085953878407,indian,11
Przyjaciele Z Zaswiatów,216826,False,25,Wojciech Paszkowski,Ksiezniczka I Zaba,0.489,0.794,9,-4.441,False,0.274,0.631,0.0,0.362,0.408,126.332,4.0,435.0,110.0,1.343558282208589,disney,7
Vin Rouge,182000,False,7,Felix Da Housecat;Blakk Hazel;Dave The Hustler,Vin Rouge,0.563,0.91,4,-9.156,False,0.0356,0.00845,0.447,0.211,0.445,119.965,4.0,361.0,91.0,0.916010498687664,chicago-house,6
The Fire Within Him Burns,321219,False,15,Kvaen;Mathias Lillmåns,The Great Below,0.201,0.824,11,-13.332,False,0.0776,2.43e-05,0.00159,0.0991,0.0648,179.998,4.0,946.0,237.0,0.7481162540365985,black-metal,2
Cuckoo - Original Mix,376571,False,17,Colombo,Abandoned Factory II,0.749,0.821,1,-6.497,True,0.0571,0.00132,0.862,0.0602,0.539,133.984,4.0,830.0,207.0,2.36741214057508,breakbeat,5
Desideratum,238714,False,18,Anaal Nathrakh,Desideratum,0.0871,0.789,6,-3.172,True,0.0738,1.92e-06,0.907,0.101,0.222,173.63,4.0,673.0,169.0,1.1709531013615733,black-metal,2
Farvardin,465400,False,0,Martin Shamoonpour,Tehransaranieh,0.304,0.0403,2,-18.304,False,0.0543,0.991,0.268,0.0826,0.131,84.333,5.0,716.0,180.0,3.70048309178744,iranian,13
"Galti Se Mistake (From ""Jagga Jasoos"")",203076,False,53,Pritam;Arijit Singh;Amit Mishra,"Galti Se Mistake (From ""Jagga Jasoos"")",0.438,0.797,11,-4.395,False,0.227,0.0173,0.0,0.164,0.71,195.237,3.0,591.0,197.0,0.7481162540365985,indian,11
Esto Es Lo Que Hay,445727,False,21,Los Amigos Invisibles,Live En Una Noche Tan Linda Como Esta Vol 1,0.589,0.789,8,-7.194,True,0.0697,0.496,0.00134,0.771,0.312,104.178,4.0,771.0,194.0,2.7259036144578315,afrobeat,1
By the Rivers,129878,False,7,Justnormal,"If you're with me, you're with me.",0.721,0.349,5,-9.165,False,0.137,0.947,0.828,0.145,0.141,82.011,4.0,175.0,44.0,1.2793053545586106,study,19
Have Some Fun - Club Mix,213945,False,14,Deekline;Ed Solo;General Levy,Have Some Fun,0.62,0.961,1,-3.26,False,0.0546,0.00995,0.000724,0.309,0.518,175.032,4.0,609.0,151.0,2.36741214057508,breakbeat,5
UK Border Patrol,265631,False,38,Dimension,Organ,0.512,0.683,5,-7.705,False,0.05,0.402,0.929,0.228,0.122,102.89,4.0,448.0,113.0,1.2793053545586106,industrial,12
Khoya,178197,False,57,Zariya;Aseem,Khoya,0.609,0.539,0,-8.087,True,0.0284,0.138,0.00014,0.286,0.413,99.995,4.0,289.0,71.0,3.349056603773585,indian,11
"Mummy, I've Had An Accident…",302560,False,0,LFO,Sheath,0.379,0.705,1,-7.217,True,0.0794,0.00132,0.194,0.0946,0.502,137.977,4.0,802.0,202.0,2.36741214057508,idm,10
Lloran las Rosas,264546,False,29,Cristian Castro,Mis Favoritas,0.37,0.559,7,-6.688,True,0.0343,0.126,0.0,0.126,0.229,108.55,4.0,544.0,136.0,4.067085953878407,spanish,18
E Tome Amor,272493,False,45,Limão Com Mel,E Tome Amor,0.606,0.866,7,-2.762,True,0.0476,0.328,0.0,0.153,0.641,92.004,4.0,414.0,105.0,4.067085953878407,forro,8
Moon Over Memphis,267226,False,26,Balsam Range,Five,0.61,0.805,11,-5.611,True,0.0306,0.53,0.0204,0.136,0.892,133.987,4.0,584.0,147.0,0.7481162540365985,bluegrass,3
Todos Los Besos,239146,False,58,Los Rebujitos,El Niño Pena,0.667,0.763,9,-5.295,True,0.0331,0.375,0.0,0.118,0.733,125.049,4.0,484.0,121.0,1.343558282208589,spanish,18
jagi (feat. KIRE),220014,False,46,Shi Shi;KIRE,jagi (feat. KIRE),0.625,0.679,1,-4.912,False,0.0811,0.37,0.0,0.105,0.445,96.988,4.0,352.0,88.0,2.36741214057508,mandopop,16
Ikeja Roads,160948,False,35,Tony Allen,"Comet Series, Vol. 1 (Crazy Afrobeat)",0.777,0.598,2,-13.803,False,0.0412,0.023,0.89,0.106,0.684,100.007,4.0,265.0,65.0,3.70048309178744,afrobeat,1
First Love - Live,556844,False,47,Kari Jobe,The Blessing (Live),0.124,0.481,2,-7.785,True,0.0324,0.174,0.0,0.268,0.105,74.962,4.0,674.0,173.0,3.70048309178744,mandopop,16
"不將就 (電影""何以笙簫默""片尾曲)",312997,False,61,Ronghao Li,有理想,0.51,0.456,0,-7.773,True,0.0282,0.418,0.0,0.12,0.237,143.787,4.0,736.0,183.0,3.349056603773585,mandopop,16
Gotta Work (Final Take),368482,False,17,Robert Owens,90's House & Garage compiled by Joey Negro,0.805,0.556,11,-11.594,True,0.107,0.000744,0.579,0.114,0.512,123.157,4.0,753.0,191.0,0.7481162540365985,chicago-house,6
Speak,241348,False,32,Nickel Creek,This Side,0.687,0.378,11,-13.338,True,0.0336,0.822,0.00981,0.109,0.584,96.077,4.0,382.0,95.0,0.7481162540365985,bluegrass,3
Desejos do Mar,220906,False,44,Armandinho,Volume 5,0.603,0.63,4,-7.754,False,0.0323,0.00343,0.0,0.139,0.927,141.934,4.0,513.0,126.0,0.916010498687664,brazil,4
Quero Mergulhar Nas Profundezas - Ao Vivo,196413,False,51,Padre Marcelo Rossi,Músicas Para Louvar O Senhor,0.224,0.555,4,-8.35,True,0.0398,0.428,0.0,0.382,0.311,123.878,4.0,404.0,102.0,0.916010498687664,brazil,4
Boquinha,190746,False,45,Marcynho Sensação,E É uma Banda É?,0.738,0.894,5,-4.36,True,0.046,0.377,1.6e-05,0.273,0.802,170.048,4.0,526.0,130.0,1.2793053545586106,forro,8
26th Floor,426960,False,14,Aoki Takamasa;Tujiko Noriko,28,0.89,0.223,7,-14.23,True,0.316,0.0131,0.024,0.132,0.235,89.938,4.0,632.0,160.0,4.067085953878407,idm,10
Any Way You Want It / Lovin' Touchin' Squeezin' (Glee Cast Version),187413,False,19,Glee Cast,Glee LGBTQIA+ Pride,0.463,0.839,9,-3.084,True,0.0361,0.00416,0.0,0.442,0.614,145.935,4.0,445.0,111.0,1.343558282208589,techno,20
Take 5 - Ao Vivo Na Casa De Francisca,431640,False,23,Orquestra Brasileira de Música Jamaicana,Obmjazz (Ao Vivo Na Casa De Francisca),0.734,0.444,0,-10.782,False,0.0523,0.489,0.941,0.626,0.624,136.305,4.0,980.0,245.0,3.349056603773585,afrobeat,1
She Doesn't Mind - Gregori Klosman Remix,299520,False,0,Sean Paul,Dance Dance Dance,0.733,0.812,0,-4.559,False,0.122,0.00125,0.0261,0.0895,0.619,125.027,4.0,608.0,153.0,3.349056603773585,breakbeat,5
Mä yksin ootan ihmettä,161840,False,24,Esme Kaislakari,Encanto (Alkuperäinen Soundtrack),0.683,0.556,4,-7.77,True,0.0364,0.248,2.45e-06,0.123,0.337,95.016,3.0,245.0,80.0,0.916010498687664,disney,7
Quanto Tempo Demora um Mês,184120,False,45,Biquini Cavadão,Ao Vivo,0.509,0.674,6,-7.379,True,0.0383,0.253,0.0,0.732,0.159,75.066,4.0,231.0,57.0,1.1709531013615733,brazil,4
Redbone (Groovy Anthem),84088,False,20,DJ Smallz 732;Kyle Edwards,DJ Smallz 732,0.823,0.847,10,-2.998,False,0.237,0.0294,0.0648,0.304,0.775,159.905,4.0,223.0,55.0,0.7573891625615764,techno,20
Psycho Kong,261731,False,2,Paul Johnson,Psycho Kong,0.752,0.967,0,-13.97,True,0.053,2.48e-05,0.932,0.17,0.886,143.216,4.0,621.0,154.0,3.349056603773585,chicago-house,6
Oprah,146938,False,14,Nervz,Oprah,0.684,0.537,2,-8.909,True,0.315,0.608,0.000194,0.0779,0.339,67.774,5.0,161.0,41.0,3.70048309178744,j-dance,14
Thank You Jah,202884,False,15,Busy Signal,Love And Love Alone 2022 Riddim,0.75,0.593,1,-5.976,False,0.329,0.216,0.0,0.295,0.598,174.193,4.0,584.0,145.0,2.36741214057508,j-dance,14
Salomé IV,136312,False,26,Arovane;An Moku,Salomé,0.164,0.21,4,-14.179,True,0.0331,0.854,0.965,0.202,0.0377,61.923,4.0,134.0,32.0,0.916010498687664,idm,10
Slow Motion,166000,True,67,AMARIA BB,Slow Motion,0.733,0.479,11,-9.27,False,0.301,0.575,0.00053,0.0831,0.485,88.742,4.0,239.0,59.0,0.7481162540365985,j-dance,14
Fight For The Right,262973,False,24,NEO JAPONISM,NEO JAPONISM,0.605,0.94,1,-2.645,True,0.141,0.00064,2.23e-05,0.19,0.52,149.914,4.0,650.0,163.0,2.36741214057508,j-idol,15
Boyfriend (Moonlight Version)(version2016),279760,False,22,Flower,THIS IS Flower THIS IS BEST,0.726,0.811,0,-5.782,True,0.0464,0.381,0.0,0.176,0.856,119.978,4.0,550.0,139.0,3.349056603773585,j-idol,15
Blood City,260000,False,6,Saba Alizadeh,Scattered Memories,0.116,0.316,1,-15.585,True,0.0471,0.947,0.695,0.697,0.0309,173.189,3.0,723.0,239.0,2.36741214057508,iranian,13
Wish I Had My Time Again,152200,False,23,Uncle Earl,"Waterloo, Tennessee",0.522,0.685,9,-6.041,True,0.032,0.84,0.912,0.22,0.966,140.201,4.0,338.0,84.0,1.343558282208589,bluegrass,3
Jab Tum Miley,246111,False,40,Abhilasha Sinha,Jab Tum Miley,0.39,0.318,9,-11.778,True,0.0304,0.466,0.013,0.0914,0.25,94.942,4.0,441.0,113.0,1.343558282208589,indian,11
Sos mi sol flaquito,100000,False,43,Luis Pescetti;Marta Gómez,Magia todo el día,0.787,0.223,0,-12.0,True,0.0601,0.848,5.24e-05,0.0885,0.778,109.322,4.0,170.0,42.0,3.349056603773585,spanish,18
Mar-Tiya-Khvara,375500,False,0,From The Vastland,Mar-Tiya-Khvara,0.273,0.923,8,-3.873,True,0.0955,6.92e-05,0.0033,0.0877,0.0416,119.302,4.0,733.0,183.0,2.7259036144578315,iranian,13
Arise,198226,False,0,Sepultura,Metal,0.371,0.961,9,-6.765,False,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,4.0,383.0,95.0,1.343558282208589,brazil,4
Gadareno,282640,False,47,Deise do Vale,Tempo de Deus (Playback Incluso),0.536,0.699,8,-6.009,False,0.0557,0.667,0.0,0.37,0.287,139.895,4.0,641.0,161.0,2.7259036144578315,brazil,4
Homo Sapiens,278752,False,18,Arsames,Immortal Identity,0.434,0.983,6,-3.68,True,0.131,1.76e-05,0.699,0.0461,0.183,159.943,4.0,717.0,179.0,1.1709531013615733,iranian,13
I Take Ya - Kolombo Special Version,256585,False,28,Kolombo;Malikk,Kolombo & Loulou Players Present Best of Loulou Records 2015,0.805,0.938,9,-4.74,True,0.0888,0.00258,0.214,0.0526,0.263,123.002,4.0,512.0,128.0,1.343558282208589,techno,20
As the Wounds Gently Bleed,229955,False,18,Këkht Aräkh,Night & Love,0.383,0.879,0,-8.046,True,0.0658,0.0692,0.889,0.0954,0.0405,141.741,4.0,533.0,133.0,3.349056603773585,black-metal,2
In My Head - Klubjumpers Extended Mix,358595,False,0,Jason Derulo,10's Dance Classics,0.693,0.978,0,-3.943,True,0.0525,0.00491,1.59e-05,0.0874,0.545,128.013,4.0,747.0,186.0,3.349056603773585,breakbeat,5
Handen Omhoog,186573,False,34,PartyfrieX,Partyfreak,0.74,0.93,6,-6.648,True,0.101,0.0337,3.42e-05,0.259,0.825,145.05,4.0,448.0,111.0,1.1709531013615733,happy,9
Mi Música Mis Normas,176575,False,25,Isusko;Sbrv,Preludio,0.779,0.854,7,-6.821,True,0.341,0.316,0.0,0.298,0.719,140.074,4.0,400.0,99.0,4.067085953878407,spanish,18
Faasla,199735,False,50,Shamoon Ismail;Hasan Raheem,Scars & Screws,0.739,0.39,11,-12.118,False,0.0918,0.0475,0.132,0.0732,0.285,91.961,4.0,301.0,75.0,0.7481162540365985,indian,11
Moss Grew,430500,False,1,Rojin Sharafi,Kariz,0.314,0.428,11,-15.667,False,0.161,0.068,0.37,0.371,0.0768,77.835,4.0,689.0,171.0,0.7481162540365985,iranian,13
フライングゲット,254586,False,23,AKB48,AKB48 15th Anniversary Single PLAYLIST II,0.523,0.977,0,-1.896,False,0.144,0.0594,4.89e-06,0.37,0.6,131.043,4.0,540.0,133.0,3.349056603773585,j-idol,15
Complete (Graffiti),153996,True,0,Skillibeng,Mission Complete,0.763,0.732,5,-7.887,False,0.231,0.782,0.0,0.181,0.705,95.088,4.0,240.0,59.0,1.2793053545586106,j-dance,14
"This Is How I Thank The Lord (feat. Cody Carnes, Amanda Cook, Joe L Barnes)",221274,False,52,Mosaic MSC;Cody Carnes;Amanda Cook;Joe L Barnes,Thanks,0.455,0.403,4,-8.221,True,0.0388,0.555,0.0,0.327,0.434,125.858,4.0,458.0,115.0,0.916010498687664,indian,11
Pain Collector,213815,False,0,War Angel,Symphony of the War,0.453,0.847,9,-4.888,False,0.0561,2.8e-06,0.0115,0.159,0.166,89.998,4.0,307.0,76.0,1.343558282208589,iranian,13
Verão Sem Calor,210531,False,40,Iguinho e Lulinha,Simbora pra Vaquejada,0.61,0.79,7,-4.373,True,0.0359,0.283,0.0,0.164,0.918,152.092,4.0,528.0,132.0,4.067085953878407,forro,8
Bivouac,244000,False,4,Recue,All the Wrong Places (Remastered),0.539,0.773,5,-8.504,True,0.0374,0.00309,0.725,0.149,0.0779,94.986,4.0,383.0,96.0,1.2793053545586106,idm,10
Entre Sobras Y Sobras Me Faltas,234753,False,59,Antonio Orozco;Sebastian Yatra,Entre Sobras Y Sobras Me Faltas,0.457,0.408,10,-9.408,True,0.0414,0.651,0.0,0.113,0.218,80.403,3.0,296.0,98.0,0.7573891625615764,spanish,18
Touch Me,318066,False,55,Pritam;KK;Alisha Chinai;Sameer,Dhoom:2,0.788,0.86,6,-5.988,False,0.048,0.264,0.000321,0.0687,0.853,104.982,4.0,552.0,137.0,1.1709531013615733,indian,11
Turbonaise,186613,False,21,PartyfrieX,Partyfreak,0.666,0.938,11,-5.873,True,0.0592,0.00148,0.174,0.148,0.635,182.023,4.0,556.0,138.0,0.7481162540365985,happy,9
Oblivion,161253,False,65,Royal Blood,Typhoons,0.642,0.823,4,-3.68,True,0.0612,0.000281,0.00211,0.216,0.826,112.005,4.0,295.0,72.0,0.916010498687664,bluegrass,3
When the Noise Settles,159205,False,27,Dusty Decks,Golden Crates,0.676,0.333,6,-7.333,False,0.0325,0.89,0.684,0.116,0.454,92.998,4.0,242.0,60.0,1.1709531013615733,study,19
A Rosa E O Beija Flor,198893,False,44,Yury Pressão,De Geração Pra Geração,0.718,0.719,5,-4.208,False,0.0339,0.421,0.0,0.107,0.902,152.02,4.0,496.0,123.0,1.2793053545586106,forro,8
Sau Tarah Ke,238994,False,62,Pritam;Jonita Gandhi;Amit Mishra,Dishoom,0.702,0.773,11,-4.79,True,0.0618,0.0469,0.0,0.171,0.719,133.888,4.0,527.0,131.0,0.7481162540365985,indian,11
On the Run,229493,False,24,Yonder Mountain String Band,Elevation,0.505,0.671,0,-10.34,True,0.0328,0.591,0.124,0.323,0.961,160.67,4.0,603.0,151.0,3.349056603773585,bluegrass,3
Midnight Passion,474357,False,5,Roy Davis Jr.;C.O.D.,The Lost Deep House Trax - Volume One,0.714,0.783,9,-6.518,True,0.0937,0.000185,0.882,0.173,0.614,126.715,4.0,1001.0,250.0,1.343558282208589,chicago-house,6
マジスカロックンロール,221000,False,23,AKB48,神曲たち,0.51,0.996,8,-3.512,True,0.108,0.000287,0.00947,0.337,0.556,141.983,4.0,511.0,128.0,2.7259036144578315,j-idol,15
Elite Only,192783,False,0,Alkaline,Elite Only - Single,0.678,0.772,11,-7.005,True,0.165,0.577,0.0,0.113,0.507,100.302,4.0,316.0,79.0,0.7481162540365985,j-dance,14
Grenzgænger,452626,False,17,Agrypnie,Grenzgaenger,0.466,0.962,1,-4.444,True,0.0817,3.53e-05,0.482,0.357,0.29,120.009,4.0,899.0,227.0,2.36741214057508,black-metal,2
"La Puerta del Colegio / Mi Amada / Cambiando el Destino (feat. Kabah, Mercurio & Sentidos Opuestos) - En Vivo",378893,False,31,Magneto;Kabah;Mercurio;Sentidos Opuestos,Únete a la Fiesta (En Vivo),0.204,0.65,4,-6.83,True,0.0389,0.476,0.0,0.726,0.195,75.059,4.0,668.0,168.0,0.916010498687664,spanish,18
革命の馬,254853,False,28,Nogizaka46,透明な色,0.492,0.859,5,-3.987,False,0.0539,0.303,0.0,0.295,0.477,124.993,4.0,511.0,127.0,1.2793053545586106,j-idol,15
Kick It Complex,287426,False,13,Bassnectar;Persia,Underground Communication,0.778,0.801,7,-7.591,True,0.0812,0.00217,0.000701,0.106,0.498,96.022,4.0,458.0,116.0,4.067085953878407,breakbeat,5
